,Sentence,Polarity_Classification
8614,지엠 이 섀시 설계 와 서스펜션 셋팅 기술 은 현기 보단 한세대 급 앞서 있 어서 주행 성능 은 중형차 중 가장 완성 도 가 높지 않 을까 생각합 니다 . 이미 북미 평가 에서도 성능 평가 가 나와 있 구요 … 사실 지엠 이 하체 도,Neutra
8615,미스터 먼데이는 가스 닉스의 <왕국의 열쇠>의 첫 번째 책입니다.,Neutra
8616,바람은 어찌되었던 좋게될수없다. 보는 내내불안했다.,Negativa
8617,문성근과 김희애도 이런 시절이 있었나 싶다,Negativa
8618,"쓸쓸하다,가슴이 아프다.",Positiva
8619,괴도 키드!!! ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Positiva
8620,아주 놀고 있다.,Negativa
8621,억지스러운 영화 문성근이 아깝다.,Negativa
8622,기존 멜로영화 형식을 탈피하려고 하였으나 감정의 절제가 지나쳐 너무 담백한 영화,Negativa
8623,"원작을 보지 못해서 내용의 충실도에 대해선 뭐라 할 순 없지만 영화가 흘러가는 완급조절이 참 좋았습니다! 배우들의 호연도, 마지막의 카타르시스도!! 종교인이 나오지만 신의 이야기가 아닌 영화.",Positiva
8624,어떻게 클락업을 맨눈으로 보냐,Negativa
8625,왜봤지 이걸 2시간동안,Negativa
8626,높이 가 높아 지하 주차장 도 못 들어 갈 꺼 같은 데 ;;; 스타렉스 처럼 하이 루프 ? 버전 따로 만들 지,Neutra
8627,이딴 것도 영화라고,Negativa
8628,진부하고 엉성한데 지루하기까지.. 디에고만 불쌍하게 됐군.,Negativa
8629,보는 내내 답답.,Negativa
8630,대체 ; 뭐가 재미있나? 영화 홍보땐 무슨 황정음이 매우 비중있는 여주인공인냥 하더니;; 뭐 암것도 아녔고;; 그냥 내용은 산으로 가고 보는내내 과연 클라이막스가 어느부분인지 예상만하다 영화가 끝남;이영화 포스터나 홍보영상보고 뭔가 뒷통수,Negativa
8631,이것은 그녀가 거절할 수 없는 제안인 것 같습니다,Neutra
8632,소나타 는 그 전 에도 재고 할인 아닌 거 같더 만 . 그리고 그랜저 는 흉기 차가 아닌 가보네 요 .,Neutra
8633,한 가정의 아픔과 치유. 안내상의 연기는 물흐른다는 표현이 딱 들어맞는듯,Negativa
8634,뭐 어쩌라는건지 모르겠음,Negativa
8635,ㅋㅋㅋㅋㅋㅋ2012년에 개봉한게 맞나 의심되는 퀄리티...95년대에 나온 영화랑 퀄리티가 비슷해보인다 ...,Negativa
8636,그것으로 부족하다는 듯이 개얼굴의 페쳐들이 그를 쫓는다.,Neutra
8637,도니 괴롭히던 파브레가스닮은 배우가 생각나네 .............,Positiva
8638,평점이 낮데 차라리 다행이다 이런 잼있는 영화 평점보는 바보들이 안볼수있으니깐 ㅋ,Positiva
8639,1편은 재밌었는데 2편은 막장으로 고고고,Negativa
8640,이 책은 Paul Zindel의 두 번째 책으로 1969년에 처음 출판되었습니다.,Neutra
8641,END 가 뜰 때 대박 이라고 자연스럽게 외쳐지는 엄청난 작품 !,Positiva
8642,페미니스트 강경파를 대표하는 것이 아니라 부끄러움으로 뺨을 때리지 않는 논리적인 입장을 취한다.,Neutra
8643,소아적인,Negativa
8644,다시 보고싶은데 구할수가 없네요 정말 재밋는 영화인데,Positiva
8645,반드시 2는 반드시 극장에서 봐야할 영화! 온 몸을 후끈 달아오르게 하는 롹영화!,Positiva
8646,상황이 통제 불능 상태가 되었을 때 Angela와 Diabola는 균형을 잡기 시작합니다.,Neutra
8647,재미만 있고만 쫄깃쫄깃ㅋㅋ,Positiva
8648,유럽 에서 i40 이랑 같은 급 이라니 허거걱 유럽 판매 가,Neutra
8649,일요일엔 코빅 보면되죠...드라마 빨리끝낫으면하네요...,Negativa
8650,야한것 찾으세요 그럼 다른거 보세요,Negativa
8651,보고나서 꽤 허탈하지만 이정도 막장 평가 받을 영화는 아닌듯,Negativa
8652,콩가네 콩콩가네가네 코옹가네,Negativa
8653,진심 개노잼. 영화보다가 도중에 나온적은 처음이었다.쏜다앤더스게임로보캅 내 인생 최악의 쓰레기영화 top3,Negativa
8654,제니퍼러브휴잇 팬이지만 이건 정.말. 아니다,Negativa
8655,이런거 10점주는 사람 이해안간다 ㅋㅋㅋㅋ 객관적으로 시야를 넓혀서 봐라 ㅋㅋㅋㅋ,Negativa
8656,뇌가 없어도 시청할 수 있는 영화,Negativa
8657,난 아직도 우리 선조들이 당했던 일을 잊지않고있다 두고보자,Negativa
8658,전기쑈크먹구.. TV속을 들락날락.. 별 희안한 영화 다보네^^,Negativa
8659,bmw 도 급발진 있네 요 . 뭔가 특정 부품 이 문제 거나 아니 면 ecu 회로 가 ㅇ 문제 거나 할 듯 . 현기 만 그런 다면,Neutra
8660,그래서 SM6 그렇게 많이 팔리 나 ~~ 그래서 쏘나타 가 무 이자 할부 계속 진행중 인가 ~~ 자신 있 음 그렇게 안 하지 ~~ 택시 로라 도 판매량 올리 자 ~ 싸게 라도 팔 아서 많이 팔자 그러 고 있잖 아 ~,Neutra
8661,5점이나 6점이 적당한데 10점 올리는 사람들때문에 1점,Negativa
8662,승복이 나오는 영화가 그렇지 뭐,Negativa
8663,싼타페 누수 때 는 절대 사지 말 라고 하다 가 말리부 디젤 엔진 폭발 할 때 는 한국인 의 주행 습관 때문 에 벌어진 일이 라고 하신 분 이 저기 끼어 있네 요 .,Neutra
8664,영상미 봐라~완전기대!!,Positiva
8665,캡티바 는 원래 유럽 설계 차종 으로 만들어진 윈스톰 의 후속 이 죠 일단 단단한 서 스 에 고속 주행 안정감 글구 승 차감 정숙 성 등등 옵션 빼고 다 좋 다고 봅 니다 한가지 더 있네 요 출력 ㅋ 알 엔진 에 비하면 마니 모 자르 네요,Neutra
8666,이병헌이러시아경찰이랑싸우는게멋졌고 특히 존 말코비치가재미있어싸 제가영화본것중에재미있었던데 레드2입니다,Positiva
8667,뭐... 저usb는 결국 신희한테 갈거면서 usb로 몇회를 해쳐먹은거여 ㅡㅡ아.. 기억상실 진부한 설정하며 요즘 일반인들도 사용하는 핸드폰 녹음기능 작가님은모르시나봄? 멍청한 여주 하늘이 보살피는 악역 진부하기짝이 없는 스토리....,Negativa
8668,호기심으로 봤는데 상당한 여운을 남겨주는 영화!,Positiva
8669,그냥 글 들 보면 답답함 .. 그냥 자신 들 이 현기 싫어 한 다 는 건 이해하겠 는데 이 사람 글 의 반박 을 할 려면 사실 이 아닌 부분 을 꼬집어 반박 해야 하는 데 그런 게 없 음 . 애시 당초 abs 의 원리 와 트랙 션 콘트롤 의 원리 조차도 모르는 사람 들 이 그냥 싫다 고 하면,Neutra
8670,미스터 먼데이는 천식 발작 중에 신비한 미스터 먼데이에 의해 마법의 열쇠를 위임받은 아서 펜할리곤의 이야기를 따릅니다.,Neutra
8671,그의 처음 두 장에서 Gellner는 현대의 곤경이라고 부를 수 있는 것에 초점을 맞춥니다.,Neutra
8672,저희 집 세피아 초기 형 타다 가 자동차 검사 에서 매연 배출 에서 걸려 수리하러 갓 더니 수리 비 가 패 차비 보다 더 나와 서 차량 교체 햇습니 다 . 참고 로 임프 ㅗ 바꿧습니 다 만족 중 입니 다,Neutra
8673,재밌던데,Positiva
8674,재밌게 봤어여 ㅋㅋㅋ 탕우ㅜ웅우우우우웅,Positiva
8675,배우들때문에 3점 ㅋㄷㄱ 진짜 지루함 ~ 뭐 나오겟지 나오겟지 하다가 끝 ㅋㅋㅋ 딸이 마피아 다 죽일때 아빠랑 엄마는 한명도 겨우겨우 죽이고 ㅋㅋ,Negativa
8676,ㅁㅁ,Negativa
8677,아주좋군.,Positiva
8678,Liz와 Maggie가 주인공이기 때문에 이 책은 소녀들을 위한 책이라고 할 수 있지만 Sean과 Dennis의 삶도 중요한 하위 플롯에 묘사되어 있습니다.,Neutra
8679,재규어 만 봐 도 단순히 품질 이 좋 아서 오래 유지하고 있다 고 생각하기 엔 ..,Neutra
8680,Poirot의 마지막 사건은 Styles라는 작은 호텔에서 발생합니다. 런던에서 멀지 않은 영국 시골에서 중산층 사람들 사이에서,Neutra
8681,수학자 7학년 아서 펜할리곤(Arthur Penhaligon)은 매우 평범하지 않은 삶을 사는 흥미로운 캐릭터입니다.,Neutra
8682,기억남는 대사들이 많네요. 독특하고 발랄한 독립영화!,Positiva
8683,뭐.. 좀 보기그런장면이 있었긴하지만 저는감동받아서정말 임창정이 불쌍해서 울기도했음...,Positiva
8684,티비드라마보다 못한영화.그 시대엔 티비드라마가 한국영화보다 더 재미있었다.,Negativa
8685,"치열한 전쟁속에서맺게된 인간애, 끝까지 지켜나가려는 그 과정을아주 리얼하고 감동적으로 보여준 수작",Positiva
8686,TV편과 내용만 이어서 만든 2류 멜로애니 같다.,Negativa
8687,허무맹랑~,Negativa
8688,돈이아까웠다.,Negativa
8689,많이 울었습니다..,Positiva
8690,도덕시간에 받는데 인권이 정말 소중하단걸 알았다.,Positiva
8691,저예산임에도 긴장감이 지리네요..ㄷㄷ장소도 정말 신선하네요 새벽의 조용한 톨게이트..감독 존경해,Positiva
8692,Angela가 Diabola 근처에 있을 때 그녀는 아무 잘못도 할 수 없습니다.,Neutra
8693,우리나라 로코 왜 이러냐 개떡이냐,Negativa
8694,예술은 아무나 하나? 너무 욕심내다 아무것도 말하지 못한 바보영화,Negativa
8695,별 반개도 아깝다 만화책이랑 완전 다른느낌? 그리고 매듭도 없는느낌 이다,Negativa
8696,B급 에로영화보다는 좀더 나은 영화..,Negativa
8697,어휴 쓰레기 으휴 쓰레기!,Negativa
8698,"잭의 아내 에이미가 아무렇지 않은 듯 다시 나타나서 ""에이미가 아니다""라고 조금 행동하기 시작했을 때, 그는 오랜 친구인 피셔와 불편한 팀에서 자신을 발견합니다. 정말 이상한 것들을 숨기기 위해",Neutra
8699,킬링타임용으로도 부족한영화..,Negativa
8700,그가 왕국{하우스}의 정당한 상속인이라고 하지만 Aurther가 원하는 것은 Sleepy Plauge에 대한 치료제뿐입니다.,Neutra
8701,정말 감동적이면서 간간히 웃음도 함께주는.영화네요. 최고의 감동. 다시 한번 보게 될 것 같습니다.,Positiva
8702,억지스럽다..,Negativa
8703,하중 지수 는 타이어 플라이 만 더 겹 치면 되는 데 무슨 문제 가 되 요 .. 아무튼 승 차감 나쁜 차는 대형 차 답지 못 하다 고 생각합 니다 ( 아무튼 저 는,Neutra
8704,나는 안 믿고 싶다,Negativa
8705,어느부분에서 제2의 이티라 하였는가?,Negativa
8706,국산 호러드라마 와 여러가지 재현 드라마를 짬뽕한 짜집기.,Negativa
8707,"이 책은 처음에는 즐겁게 읽었지만, 그 다음에는 내가 매우 역겹다고 생각하는 문제를 사용하기 시작했으며 8학년이 되면서 이 주제에 대한 보고서를 작성하고 교각 앞에서 토론하는 것을 거부했습니다.",Neutra
8708,사랑했나봐 시즌2 보는것 같네요 내용도 비슷하고 심지어 등장인물들까지~ 너무 뻔한내용 짜증납니다,Negativa
8709,영화 시작하자마자 나온 2010년대 식 스포티지에 확 깼고 이런 영화에 너무 베이비페이스인 주인공도 보는 내내 견디기 힘들었다.,Negativa
8710,최고의 배우 평범한 영화,Negativa
8711,폭스바겐 이라는 명칭 이 회사 이름 이라는 것 을 모르는 사람 도 있 음 .,Neutra
8712,말이 필요없는 쓰레기 영화,Negativa
8713,본지 오래됬지만 이제서야 후기 남김.. 일본의 장인정신은 언제나 본받을만 합니다. 솔직히 우리나라는 환경미화원 조차 우습게 여기고 천히 여기지 않습니가? 그런 의미에서 이런 영화는 좋은거 같아요.,Positiva
8714,반전에 반전에 반전.. 한번 보고는 모른다 수작,Positiva
8715,말이 필요없다 재미있다,Positiva
8716,최악의 영화 이렇게 재미없을수가...,Negativa
8717,별한개도 아까운 졸작..,Negativa
8718,세금 인하는 정부 가 하는 거 라니까 ... 니로 만 해당되는 게 아니 라 국산 차 수입 차 전차 종 에 해당되는 거 ...,Neutra
8719,"당신이 영화감독이라고 치고 자신의 의식과 무의식간(꿈)의 관계의 대립과 갈등, 화해 등의 과정을 영화속에 담아봐. 그 영화는 어때? 김기덕의 경우는 해피엔딩인듯",Positiva
8720,정말한심하다...답없다..영화만든 시간과돈이 아깝다...,Negativa
8721,어렸을때 본 진정한 트래쉬 영화.수작을 가장한 삼류영화,Negativa
8722,사람들이 많이 봤으면 좋겠네요 마음 힐링 제대로 했습니다,Positiva
8723,고수...고수...차강진의 순애보는 진짜 보는 재미ㅠㅠ 김수현도 나오고 송중기도 나오고 고수아니었음 안봤을...되게 순식간에 8년후 3년후 1년후 그래서 지루한 감이 없지 않았던...,Positiva
8724,단편은 지루가 아니라 조루! 짧고 강하고 강력하게~ 좀 만들어주세요.ㅠㅠ 3시간 짜리 영화보는줄...,Negativa
8725,근거없는 행복. 뭐하는 짓이냐...,Negativa
8726,그 후 Arthur는 그의 형제인 Dawn과 함께 Noon을 다시 만났습니다.,Neutra
8727,Arthur Penhaligon은 새 학교에서 첫 월요일을 즐기지 못한 천식 아동이었습니다.,Neutra
8728,전형적인(지루한) 일본 학원 로맨스물... 2014년에도(아직까지도)이런 영화가 나오다니... 모모세가 하이킥 나오던 여자애랑 똑닮았네 배우들이 다 젊어서 싱싱하긴 하고만,Negativa
8729,한 때 는 언더커버 는 커녕 언더 코팅 적다 고 똥 차라 고 하던 ... 언더 코팅 많다 고 쉐보레 찬양 하던 .. 그 분들 이 생각나네 요,Neutra
8730,이 이상의영화는 없다....,Positiva
8731,우리나라 에서 바 싸게 팔고 외국 에서 싸게 판다 기 보다는 아무래도 국내 에서 현기 가 수익 내기 가 쉽 죠 . 여지 껏 줄곧 만들어 오 던 나라고 판매 망 이 확실하니 까 요 . 그 에 비해서 해외 에서는 경쟁 해 야하는 빡신 상대 가 많으 니 ...,Neutra
8732,김서울,Negativa
8733,좀 아쉽지만 평점올려주고 싶다!,Positiva
8734,어휴ㅉㅉ열자이상쓰래,Negativa
8735,켄신형님 사랑해요 진심으로,Positiva
8736,현대 는 포르테 . 아반떼 md 이후 어마 어마 하게 까 여 왔 습니다 .,Neutra
8737,이 책은 Angela &amp; 디아볼라,Neutra
8738,신형 인데 이전 에쿠스 보다 좋아졌 다 는걸 어떤 미친 놈 이 모를 까 요,Neutra
8739,i20 을 국내 내 놨 는데 스파크 보다 잘 팔리 면 그림 이 재밌겠 네요 ㅎㅎ 안 팔려 도 재밌겠 고 ㅋㅋㅋㅋ,Neutra
8740,도움받고도 고마워 하지 않고 영화 끝날때 까지 징징대는 별이 아깝다,Negativa
8741,이 책은 원래 Roe V보다 3년 전인 1969년에 작성되었습니다.,Neutra
8742,졸리는부분도 있는데 순수한 나는 이런내용 좋아^^,Positiva
8743,절대훈남???? 미쳤냐????,Negativa
8744,"저건 가솔린 + 전기모터 하브 구요 . 현기 가하겠 다면 뭐 든 밀어 주 는 정부 에요 . 아이오닉 플러그인 전기차 나오는 순간 전국 마트 , 주유소 , 아파트 주차장 등등 여러 곳 에 전기차 충전 시설 + 요금 징수 시스템 바로 생겨 요 .",Neutra
8745,허리 디스크 치료 기능 이 있는 말리부 가 조금 더 윗 급 이라 캅 니데 ...,Neutra
8746,이게영화니,Negativa
8747,"모닝 , 프라이드 , 제네시스쿠페 , K3 쿠페 등등 범퍼 에 번호판 있는 것 들 아닌 가요 ?",Neutra
8748,감독의 지리멸렬한 자기반영적 OOO & 확대재생산도 이쯤되면 가여울 정도...,Negativa
