,Sentence,Polarity_Classification
16384,뭔영화인지모르고봤는데 재밌었다ㅋㅋㅋㅋㅋㅋ킬링타임용으로 쓰기엔 좀아까운영화,Positiva
16385,생각보다 훌륭하다 볼만한 영화,Positiva
16386,생각 날때 마다 보는. 황비홍 은 이연걸이 갑이다.,Positiva
16387,"b1a4흥해라♥작가,PD님 짱짱♥",Positiva
16388,현실적이지도 않고 픽션으로서도 재미 없는 한심한 드라마.,Negativa
16389,그만하자,Negativa
16390,콜린퍼스는 마크다아시 그 자체다..연기가 연기같지 않음,Positiva
16391,몇 사람들의 개인사의 나열과 볼것없는 영상들의 짜집기... 어울리지 않는 음악... 이렇게 밖에 못 만드나...,Negativa
16392,감동,Positiva
16393,시즌6짜리 장편드라마를 영화보는것처럼 쭉 단시간에 이어서 보려니깐 전개가 질질 늘어지고 지루한 느낌이드는거임.. 시간을 두고 느긋하게 감상하길 추천함.. 이런 명작 드라마에 지루함을 느낄수 있도록 감상하는건 걸작을 대하는 예의가 아님,Positiva
16394,그다지 ...,Negativa
16395,제 가슴에 영원히 남을 영화~오래전이지만 종소리가 귀에 선하네요,Positiva
16396,감독이름믿고 봤습니다. 역시 재밌네요. 마음이 따뜻해지는 영화였습니다,Positiva
16397,머꼬! 518가지고 장난치고 있네.. 쓰레기 영화네..,Negativa
16398,지루한데다 웰케 길~~~어;;;,Negativa
16399,가볍게 보기 좋은 영화 재밌었음^^,Positiva
16400,10점,Positiva
16401,구려,Negativa
16402,전지현 너무 멋졌음!!!,Positiva
16403,슈주짱 샤이니짱 에셈짱♥♥,Positiva
16404,영화 마지막 장면이 문이 닫히면서 끝나는데... 끝나고 크레딧 올라오는 동안 멍하고 있었다는...,Positiva
16405,소재만 흥미롭고 그외에는 많이 부족한 함.,Negativa
16406,평을 먼저 봤다면 내 아까운 90분을 구할 수 있었을텐데... ㅜㅜ인형탈쓴 늑대인간이라니... OMG,Negativa
16407,원래 멋진 아저씨... 연기도 좋아요~`,Positiva
16408,데니 드 비토의 직업은 육군사관학교의 영어 교관직이 아니라 그냥 영어학교입니다..,Positiva
16409,"뭉클한 부분도 있고 잘 봤습니다. 데미무어 늙었단 소리 하는 사람들은 뭐지? 사람은 다 늙습니다. 데미무어 배우로서 훌륭하지요. 단지, 이 영화 제목은 너무 성의없게 지음. 영화보고 싶은 생각이 안 드는.",Positiva
16410,난 정말 재밌게 봤는데...평점이 낮네;,Positiva
16411,연출은 뛰어나나 스토리가 허접,Negativa
16412,최고였다...,Positiva
16413,피가 끓어오르는 액션이다.,Positiva
16414,good good good,Positiva
16415,내셔널지오그래픽채널 라이브 프롬 스페이스 정말 재밌게 잘 봤습니다. 티비엔 채널이 괜히 껴서 살짝 걸리적 거렸어요….,Positiva
16416,도대체 이드라마의 정체성을 모르겠네요울랄라 부부가 무엇인가요첫회출발은 좋았는데 회가 갈수록 이야기 전개방향이 중심을 잃은듯 합니다,Negativa
16417,배우들이 아깝다 대체 이건 무슨 영환지,Negativa
16418,망작,Negativa
16419,요즘 보고 있는데 왜 명작인지 말해주는 드라마 요즘 드라마하고 차원이 다르다,Positiva
16420,"첫사랑의기억과,사랑의의미를전해주는,최고멋진작품,♡",Positiva
16421,클라우드 아틀라스를 감명깊게 본 김기덕,Negativa
16422,CG봐라 정말 소름 끼칠정도다!! 역시 믿고보는 헐리웃 영화다!!,Positiva
16423,완전 재밌네요. ㅎㅎ,Positiva
16424,유덕화의 강력한 카리스마가 영화전체를 압도했다,Positiva
16425,"캐릭터도, 스토리도, 배경도, 음악도... 무엇 하나 놓치지 않은 영화였다. 그야말로 완벽했다.",Positiva
16426,이 영화를 끝까지 본것만으로도 당신의 인내심은 인정받을만하다..,Negativa
16427,"파라노멀 액티비티 1,2,3 편 다 봤는데.. 4편은 너무 심하네... 정말 억지로 짜내기..전편은 스토리가 어느정도 납득되게 이어졌는데.. 이건 뭐 똑같은 패턴에 마지막에 억지공포...",Negativa
16428,보이소가 계속 귀에서 맴돌아ㅋㅋㅋ 여자 주인공 캐릭터 진짜 어이터짐,Negativa
16429,"당시 명필름을 부도직전까지 몰고갔던,문제적졸작.한동안이은,심재명부부는넉다운당함",Negativa
16430,96년에 나온 판티지물 대작!숀코넬리의 용목소리가 대박임!,Positiva
16431,일종의 블랙코메디성 영화인데 감독이 흥행은 전혀 고려하지 않고 만든듯..,Negativa
16432,와...애틋하고 아련하고 엔딩장면 짱이다....! 사랑할수밖에 없어서 하는 사랑... 멋있다...,Positiva
16433,박해일로 강간을 버무려도 강간은 강간...,Negativa
16434,아직 안봣지만 댓글 더 잼잇는거 같아용ㅋ,Positiva
16435,역시 성룡~,Positiva
16436,수녀들의 실제 일상을 볼 수 있어서 좋았다. 수녀에 대해 혹여 부정적인 편견이 있다면 눈녹듯 사라질 것이다. 자신을 버리고 하나님만을 생각하는 그들의 모습을 보면 마음이 정화된다.,Positiva
16437,어렸을때몇번이고보았던영화예요.캐빈코스트너는나이가들어도멋집니다^^,Positiva
16438,아 웃겨 디지겠다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Positiva
16439,왜들 그래~ 난 재밌게봤다 여자들도 이쁘고,Positiva
16440,"결정적 한방은 커녕, 잔펀치라도 좀 보고싶다.",Negativa
16441,목소리를 못알아 듣네....목소리 생각은 안하냐..어이없다..ㅡㅡ;,Negativa
16442,그닥 별로인... 별로 감흥이 업넹.ㅋㅋㅋ,Negativa
16443,good,Negativa
16444,무덤까지 가져가야할 앙겔로풀로스의 수작,Positiva
16445,상당히 재미 없음,Negativa
16446,"진지함과 웃음 중 한가지를 확실히 선택했다면 훨씬 나았을 것, 이도저도 아닌 영화",Negativa
16447,원작 소설과 영화를 작품성을 훼손시켰다,Negativa
16448,"이정도로 러닝타임내내 긴장하고본 영화도 오랜만ㅋ 화려한 볼거리, 몰입도, 긴장감.. 재미로 따지자면 10점 만점이다... 근데 미국주의에 뻔한 헐리웃영웅스토리에 1점 깎음...",Positiva
16449,평이 박하네요. 전 그 몽환적인 영상과 신세경의 분위기가 잘어울려 인상깊게 남아 오랜만에 다시보고 싶어서 한번 찾아봤습니다^^,Positiva
16450,초반에 지루하다는 평이 많았는데 손바닥에 땀만 잔뜩났지 전혀지루하지 않았다. 마지막에 그 땀은 마침내 강을 이루었다.,Positiva
16451,허큘리스~ 101010,Positiva
16452,사랑해..몇번이나 봤던가..평소엔 일부러 아껴서 안듣고 짜증나고 머리 복잡할때 한번씩 들어주면 최고..주옥같음..,Positiva
16453,참혹한 전쟁통 속에..인간들의 잠재된 성적욕망을 사실적으로 잘 표현했다.,Positiva
16454,몰입도도 좋고 재밌네요.,Positiva
16455,재미없어.,Negativa
16456,편안한 공포 영화,Negativa
16457,소재가 다소 허접한지만 갠적으로 재밌었다. 조안 존나 개동안이네 지금보니까 ㅋ,Positiva
16458,영화내용에 비해 평가점수가 너무 높아 조절좀 해야겠군요..,Negativa
16459,세련됨을 떠나서 아름다운사랑 이야기,Positiva
16460,오늘 봤는데 진짜 대단함!!! 인형이 살아있는듯한 느낌이 대박!!! 거위도 넘 귀여웠음^^ 무대위의 모든 배우들에게 박수를!!!!,Positiva
16461,코난팬인데 극장판은 빼놓지않고봄 봐도봐도 잼있는 코난~~,Positiva
16462,역시 나만그런게아니였어 나만 불편하게본게아니었네요 ..시리즈전부 리얼한 여행기에 신선하고 너무재밌게봤는데 제작진까지 너무리얼하다못해 오만방자한모습..정말 이건아니지요...,Negativa
16463,"패션과 스타일은 사라지고 호화,사치만 남아있는 눈뜨고 못봐줄 된장무비..",Negativa
16464,하 1점도아깝다 영화도 잘골라서봐야된다 잘못고른영화는 시간낭비다,Negativa
16465,내 시험성적 어쩔꺼ㅡㅡ 넘 잼잇어서 공부가 안대자나!!!!! 나 올해 사극만볼듯..ㅋ,Positiva
16466,최고의사랑과 시크릿 가든이 너무 좋아서 보고싶었던 작품. 명품드라마다.최고다,Positiva
16467,최저 평점을 줍니다. 아이들을 위한 만화이고 영화인데 시작 후 30분 지날 때까지 아이가 한번도 안웃더군요... 유아용도 아니고... 돈 시간 아깝고 일산 라페스타 주차장에서 차 긁히고 cctv도 제대로 설치 안되어 자비로 고치고 ㅋㅋ 가지마세요,Negativa
16468,일본영화 특유의 허접함에 중국무술영화의 타격감을 집어넣을라고 하니 당연이 안 맞지 포스터에 주성치 써있어서 혹해서 봤는데 이게 뭐임?라크로스를 하면 무술을 하면서 하는건줄 알았더니 이건 뭐....내가 본 3류영화도 이거보단 재밌다.,Negativa
16469,7점 준 평론가는 메탈리카의 음악을 모르는 단순한 영화광일 뿐. 음악을 안다면 무조건 10점,Positiva
16470,반전과 여운을남기는결말 재미있어요!!!짱!,Positiva
16471,"소년 프란시, 세상을 알아가다",Positiva
16472,재밋는데 평점이 왜이따구임?,Positiva
16473,정말 쩌는 영화. 안 본 사람은 꼭 봐라 후회 없다,Positiva
16474,밑에 넘은 그럼 별 3개반만 줘라. 내가 평균내주지,Negativa
16475,뛰어난 영상미,Positiva
16476,보는 내내 불편했다..억지 인물관계.. 억지 감동...,Negativa
16477,박성웅은 역시 연기를 너무 잘해,Positiva
16478,이 영화... 생각보다 오래남네.. 기막힌 액션... 정말 멋있다.,Positiva
16479,짱입니다 마의 넝넘 잘보고이써영!,Positiva
16480,속편의 명성에 덩달아 포장된 영화.,Negativa
16481,최악의드라마 똥덩어리 그 자체이다,Negativa
16482,서인애좀 살려줘요 작가님 이건너무해,Negativa
16483,공포스럽지 않지만... 독특한 설정과 흥미있는 구성,Positiva
16484,"장길산, 내용은 잘 모르겠는데,감독, 카매라,음향,수정 완전 쓰래기급",Negativa
16485,마무리는 조금 아쉬웠지만 첫사랑 사랑하시는 분은 정말 강추,Positiva
16486,"비디오로 2,3번 빌려봤어요 ㅠㅠ 너무 재밌었어요 티라노OOO!",Positiva
16487,"시사회로 봤는데요. 1편보다 스토리는 너무 막장이고, 음악도 너무 강하게 지르고 휘몰아치네요. 화려한 볼거리를 제외하고는... 실망이 크네요",Negativa
16488,아무 내용도 없는 눈요기용,Negativa
16489,장백지 유출동영상바께 생각이안난다.희극지왕때의 순수함이 안드로메다로~,Negativa
16490,살다살다 영화 보다가 끈적은 처음.. 샤크테일보다 더하네,Negativa
16491,ㅋㅋ웃겼다,Negativa
16492,"지루하고 수업듣는? 느낌이지만 보는 내내 자꾸 생각하게 만드는 영화, 하지만 ...",Positiva
16493,왜별점에 빵점은없는거야,Negativa
16494,"질풍노도의 시기에 바람(wind)처럼 그저 흘러가는데로 하루하루 재미있게만 지냈던 시절로부터,진정 소중한것을 깨닫게됬을때의 간절한 소망의 바람(wish)까지모두 담아낸 영화. 무엇보다 정우가 연기하는 자기자신의 캐릭터가 너무 인상적",Positiva
16495,재미있어요 재미있어요,Positiva
16496,별로 그렇게 재밌진 않지만 아이들이 보기에는 적합한 영화에요 ^^ 재밌네영 ㅋㅋ,Positiva
16497,오랜만에 기다려지는 드라마입니다~잘보고 있답니다♡,Positiva
16498,이창동 아니면 영화 만들지마라...나머지는 다 공해야.영화계 최고의 이야기꾼 이창동.,Positiva
16499,오대규 진짜 멋있다.연기 정말 잘해.,Positiva
16500,삶의 공허한 갈증을 해소하고 싶었던 걸까. 아니면 자기 육체의 가치를 객관화해서 보고 싶었던 걸까... 어찌 되었건 그녀가 용감하다는 것만은 분명한 사실.,Positiva
16501,요즘에 이거때메 시험이고 뭐고 다때려치고 보고잇어요.어쩌실꺼예요..ㅠㅠ,Positiva
16502,볼때마다 시간가는 줄 모르겠더라... 5번 봐도 잼있고 사랑에 관한 기억은 절대 사라지지 않는다,Positiva
16503,1점도 아까운 쓰레기 영화,Negativa
16504,차갑고 슬프다.,Positiva
16505,어쨌든 우리나라 형사/버디 무비의 원조격,Positiva
16506,용기 있는 사랑은 더욱 아름답고 감동적이었다,Positiva
16507,"원래 아침드라마는 막장코드가 먹히니까 그건 그렇다 치더라도 이건 뭐,악역이 주인공을 죽이려한 이유도 도저히 공감이 안가고 주인공들의 모든 행동이 어이없고 짜증나기만 함.?긴장감도 전혀 없고 기대도 전혀 되지않는 드라마.",Negativa
16508,재밌게 본 영화,Positiva
16509,진짜 이건 저예산 최고영화다..ㄷㄷㄷ,Positiva
16510,걍 개재미없다 돈주고보지마,Negativa
16511,안만났으면 더 좋왔을 커플,Negativa
16512,이게 평점이 8점대라는게 신기할 뿐,Negativa
16513,너무 재밌어요 신가초 원어민 다니는 친구는 다봤을껄요,Positiva
16514,아니다.. 이건 그를 향한 영화가 아니다..,Negativa
16515,봐보라고요봐보라고요,Positiva
16516,정말 최고의 영화..! 정말 버지니아 울프 연기가 너무 좋아요..!,Positiva
16517,마지막장면에서대령님이죽는순간까지갖고있었던사진을보여주는데가슴이너무아렸어요..그래서앤딩곡Rose듣는동안계속울었던것같아요..여러분~~제발노출영화라구단정짓지마세요..사랑은세상그누구도단정지을수없으니까요^^,Positiva
16518,일관된주제와 뛰어난 연기,Positiva
16519,크리스찬베일-> 이상적인아버지 러셀크로우-> 그런아버지를 원햇던사람,Positiva
16520,재미있네요. 내용도 좋고....,Positiva
16521,유쾌한 영화 잘 봤어요! ㅎ,Positiva
16522,시간이 아까운영화 / 초딩들도 유치해 할만한 영화 / 별1개도 아까운 영화 / 영화라 부르기도 민망한 ....영와!!!,Negativa
16523,"-__- 글쎄요,,,,,,,,,",Negativa
16524,이따위 영화가 왜이리 평점이 높은지 모르겠다 .. 딱 4점자리구만 ;;;,Negativa
16525,그 당시 가장 관능적이었던 베드씬과 박영선의 매력,Negativa
16526,이엘 몸매랑 봉춤 때매 +1,Negativa
16527,ㅋ,Negativa
16528,개 쓰레기영화 아무내용 없이 지루하기만한 영화,Negativa
16529,이 시대 가장 순수한 SF영화,Positiva
16530,그냥 새로운 시각의 영화같아요. 끝부분이 흥미롭네요.,Positiva
16531,말이 필요없다,Positiva
16532,평점이 왜 낮은지 이유는 단하나 일본원작을 미리보신분들?? 원작생각안하고 보면 진짜 최고영화!! 몰입도최고 재밌었어요.,Positiva
16533,무슨 말이 필요할까요? 아직까지 이보다 완벽한 드라마는 본 적이 없습니다. 제작진과 배우의 완벽한 조화! 상상을 초월하는스토리! 꼭 보세요.,Positiva
